iter	MultiClass
0	1.539699879
1	1.484585781
2	1.438479194
3	1.403735019
4	1.367751569
5	1.338297613
6	1.303807496
7	1.269443117
8	1.244785533
9	1.218436884
10	1.193076076
11	1.170136845
12	1.157239011
13	1.138787282
14	1.120722551
15	1.102581298
16	1.088647372
17	1.077617891
18	1.065599117
19	1.051747669
20	1.037224369
21	1.025222197
22	1.010667048
23	1.001151727
24	0.992111644
25	0.9842154664
26	0.9743645026
27	0.9621613943
28	0.9523957708
29	0.9411599842
30	0.9313375014
31	0.9212417785
32	0.9123701451
33	0.9056385001
34	0.8987870716
35	0.8930691596
36	0.8849551073
37	0.8759349834
38	0.8690292689
39	0.861059515
40	0.8564212457
41	0.8489109852
42	0.842879723
43	0.8365843687
44	0.8290493502
45	0.8228317962
46	0.8164671557
47	0.8088153999
48	0.8031301691
49	0.7960774766
50	0.7915409304
51	0.7848871913
52	0.7777876984
53	0.7719380474
54	0.7652293075
55	0.7606825668
56	0.7565416248
57	0.7491325746
58	0.7440074636
59	0.7390974334
60	0.7335128778
61	0.7282169453
62	0.7239977656
63	0.7186774117
64	0.7139315307
65	0.7097691064
66	0.7056732049
67	0.7013511812
68	0.6977732209
69	0.692998205
70	0.6890944603
71	0.6844449833
72	0.6792017682
73	0.6738473612
74	0.6699036664
75	0.6660872576
76	0.6630628381
77	0.6595051817
78	0.6537068165
79	0.6512335012
80	0.6474339384
81	0.6447005324
82	0.6411971436
83	0.6368659568
84	0.6338043035
85	0.631340327
86	0.6276977047
87	0.623905108
88	0.6201352989
89	0.615451379
90	0.6123942448
91	0.6092616712
92	0.60713362
93	0.6041675542
94	0.6001237494
95	0.5966736851
96	0.5929508114
97	0.5897548386
98	0.585420365
99	0.5818801446
