iter	Passed	Remaining
0	13	1355
1	27	1337
2	39	1275
3	53	1274
4	64	1216
5	77	1207
6	90	1205
7	103	1185
8	116	1175
9	129	1168
10	146	1185
11	162	1192
12	186	1250
13	211	1297
14	233	1325
15	259	1362
16	284	1387
17	302	1378
18	320	1366
19	337	1350
20	358	1350
21	379	1346
22	404	1354
23	420	1332
24	441	1325
25	461	1313
26	498	1347
27	541	1393
28	569	1393
29	593	1384
30	613	1365
31	631	1342
32	649	1319
33	665	1291
34	684	1271
35	699	1243
36	712	1213
37	729	1190
38	741	1160
39	757	1136
40	773	1112
41	782	1080
42	793	1051
43	804	1023
44	814	995
45	824	968
46	836	943
47	848	918
48	857	892
49	869	869
50	888	853
51	906	836
52	918	814
53	930	792
54	942	770
55	954	749
56	967	730
57	978	708
58	990	688
59	1001	667
60	1013	647
61	1026	629
62	1042	611
63	1053	592
64	1067	575
65	1081	557
66	1094	539
67	1106	520
68	1118	502
69	1129	484
70	1142	466
71	1159	450
72	1173	433
73	1186	416
74	1201	400
75	1219	385
76	1238	369
77	1256	354
78	1270	337
79	1283	320
80	1299	304
81	1319	289
82	1335	273
83	1353	257
84	1370	241
85	1385	225
86	1401	209
87	1417	193
88	1432	177
89	1446	160
90	1460	144
91	1473	128
92	1484	111
93	1497	95
94	1513	79
95	1526	63
96	1538	47
97	1552	31
98	1563	15
99	1574	0
