Task,Mode,Model,Accuracy,Precision,Recall,F1 Score,AUC
binary,Fuzzy,LogisticRegression,0.7445652173913043,0.7835051546391752,0.7450980392156863,0.7638190954773869,0.8171927307508369
binary,Fuzzy,KNN,0.75,0.8111111111111111,0.7156862745098039,0.7604166666666666,0.8064323290291726
binary,Fuzzy,SVM,0.7282608695652174,0.7708333333333334,0.7254901960784313,0.7474747474747475,0.8053562888570062
binary,Fuzzy,RandomForest,0.7336956521739131,0.7476635514018691,0.7843137254901961,0.7655502392344498,0.8162362505978
binary,Fuzzy,ExtraTrees,0.75,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.8246054519368723
binary,Fuzzy,XGBoost,0.7445652173913043,0.7619047619047619,0.7843137254901961,0.7729468599033816,0.8197632711621234
binary,Fuzzy,LightGBM,0.7391304347826086,0.7547169811320755,0.7843137254901961,0.7692307692307693,0.82532281205165
binary,Fuzzy,CatBoost,0.7391304347826086,0.7596153846153846,0.7745098039215687,0.7669902912621359,0.8288498326159732
binary,Fuzzy,BaggedGBDT,0.7282608695652174,0.75,0.7647058823529411,0.7572815533980582,0.8003347680535629
binary,Fuzzy,GNN_Proxy_MLP,0.7228260869565217,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.7994978479196557
binary,Fuzzy,Voting_Soft,0.7445652173913043,0.7669902912621359,0.7745098039215687,0.7707317073170732,0.817790530846485
binary,Fuzzy,Stacking,0.75,0.7692307692307693,0.7843137254901961,0.7766990291262136,0.8188665710186513
multi,Fuzzy,LogisticRegression,0.45652173913043476,0.535932577189666,0.45652173913043476,0.486949030000352,0.6622288675649222
multi,Fuzzy,KNN,0.3804347826086957,0.3977271780776278,0.3804347826086957,0.38762676830438375,0.5640122213336858
multi,Fuzzy,SVM,0.47282608695652173,0.5687177366584265,0.47282608695652173,0.5053174150860761,0.7002154515175704
multi,Fuzzy,RandomForest,0.483695652173913,0.4804923522810772,0.483695652173913,0.4808125281511655,0.705905437602303
multi,Fuzzy,ExtraTrees,0.483695652173913,0.4894701762118344,0.483695652173913,0.48319352551984884,0.722945890756711
multi,Fuzzy,XGBoost,0.5706521739130435,0.5629151261639355,0.5706521739130435,0.5656860928115969,0.7166803844592622
multi,Fuzzy,LightGBM,0.4782608695652174,0.5040467265194686,0.4782608695652174,0.48916239198641503,0.7326619405266495
multi,Fuzzy,CatBoost,0.4891304347826087,0.5024131829728499,0.4891304347826087,0.4943442681278018,0.7368713807801016
multi,Fuzzy,BaggedGBDT,0.4945652173913043,0.4866463402913928,0.4945652173913043,0.4901683913063308,0.7378404549212275
multi,Fuzzy,GNN_Proxy_MLP,0.45652173913043476,0.43761081560283693,0.45652173913043476,0.4444262089252403,0.6447709238536236
multi,Fuzzy,Voting_Soft,0.4945652173913043,0.5017277969755221,0.4945652173913043,0.4964016681898732,0.733869833256182
multi,Fuzzy,Stacking,0.4891304347826087,0.4824110671936759,0.4891304347826087,0.48464436140362305,0.7405030176782035
